iter	Logloss	Accuracy
853	0.3357038672	0.8524313545
854	0.3356441619	0.8525847523
855	0.335521521	0.852124559
856	0.3354826581	0.8519711612
857	0.3354331762	0.8522779567
858	0.3353104679	0.8522779567
859	0.3351963515	0.8522779567
860	0.3351659866	0.8522779567
861	0.3351319784	0.8522779567
862	0.3349838203	0.852124559
863	0.3348657478	0.852124559
864	0.3347415958	0.8524313545
865	0.3346901386	0.8522779567
866	0.3346270744	0.8524313545
867	0.3345774626	0.8522779567
868	0.3344327423	0.8524313545
869	0.3343383843	0.8525847523
870	0.3342294298	0.85273815
871	0.3340547912	0.8531983433
872	0.3339156151	0.8533517411
873	0.3338447742	0.8535051388
874	0.3338065845	0.8536585366
875	0.3337421241	0.8538119343
876	0.3336647955	0.8538119343
877	0.333602248	0.8538119343
878	0.3335611556	0.8539653321
